Religion,Constituency
Islam,Adansi Asokwa
Christian,Afigya Kwabre North
Christian,Afigya Kwabre South
Christian,Afigya Sekyere East
Christian,Ahafo Ano North
Christian,Ahafo Ano South East
Christian,Ahafo Ano South West
Christian,Akrofuom
Christian,Asante Akim Central
Christian,Asante Akim North
Christian,Asante Akim South
Islam,Asawase
Christian,Asokwa
Christian,Atwima Kwanwoma
Christian,Atwima Mponua
Christian,Atwima Nwabiagya North
Christian,Atwima Nwabiagya South
Christian,Bantama
Christian,Bekwai
Christian,Bosome Freho
Christian,Bosomtwe
Christian,Effiduase-Asokore
Christian,Ejisu
Islam,Ejura Sekyedumase
Islam,Fomena
Christian,Juaben
Christian,Kumawu
Christian,Kwabre East
Christian,Kwadaso
Christian,Mampong
Christian,Manhyia North
Christian,Manhyia South
Christian,Manso Adubia
Christian,Manso Nkwanta
Christian,New Edubiase
Christian,Nhyiaeso
Christian,Nsuta-Kwamang-Beposo
Christian,Obuasi East
Christian,Obuasi West
Christian,Odotobiri
Christian,Offinso North
Islam,Offinso South
Christian,Oforikrom
Christian,Old Tafo
Christian,Sekyere Afram Plains
Christian,Suame
Christian,Subin
Christian,Asunafo North
Christian,Asunafo South
Christian,Asutifi North
Islam,Asutifi South
Christian,Atebubu-Amantin
Christian,Banda
Christian,Berekum East
Christian,Berekum West
Christian,Dormaa Central
Christian,Dormaa East
Christian,Dormaa West
Christian,Jaman North
Christian,Jaman South
Christian,Kintampo North
Christian,Kintampo South
Christian,Nkoranza North
Christian,Nkoranza South
Christian,Pru East
Islam,Pru West
Christian,Sene East
Christian,Sene West
Christian,Sunyani East
Christian,Sunyani West
Christian,Tain
Christian,Tano North
Christian,Tano South
Christian,Techiman North
Christian,Techiman South
Christian,Wenchi
Christian,Abura-Asebu-Kwamankese
Christian,Agona East
Christian,Agona West
Christian,Ajumako-Enyan-Esiam
Christian,Asikuma-Odoben-Brakwa
Christian,Assin North
Christian,Assin Central
Christian,Assin South
Christian,Awutu Senya East
Christian,Awutu Senya West
Christian,Cape Coast North
Christian,Cape Coast South
Christian,Effutu
Christian,Ekumfi
Christian,Gomoa Central
Christian,Gomoa East
Christian,Gomoa West
Christian,Hermang Lower Denkyira
Christian,KEEA
Christian,Mfantseman
Christian,Twifo-Atii Morkwaa
Christian,Upper Denkyira East
Christian,Upper Denkyira West
Christian,Abetifi
Christian,Abirem
Christian,Abuakwa North
Christian,Abuakwa South
Christian,Achiase
Christian,Afram Plains North
Christian,Afram Plains South
Christian,Akim Oda
Christian,Akim Swedru
Christian,Akwapem North
Christian,Akwapem South
Islam,Akwatia
Christian,Asene-Akroso-Manso
Christian,Asuogyaman
Christian,Atiwa East
Christian,Atiwa West
Christian,Ayensuano
Christian,Fanteakwa North
Christian,Fanteakwa South
Christian,Kade
Christian,Lower Manya Krobo
Christian,Lower West Akim
Christian,Mpraeso
Christian,New Juaben North
Christian,New Juaben South
Christian,Nkawkaw
Christian,Nsawam-Adoagyiri
Christian,Ofoase-Ayirebi
Christian,Okere
Christian,Suhum
Christian,Upper Manya Krobo
Christian,Upper West Akim
Christian,Yilo Krobo
Christian,Ablekuma Central
Christian,Ablekuma North
Christian,Ablekuma South
Christian,Ablekuma West
Christian,Ada
Christian,Adenta
Christian,Amasaman
Christian,Anyaa-Sowutuom
Christian,Ashaiman
Christian,Ayawaso Central
Islam,Ayawaso East
Islam,Ayawaso North
Christian,Ayawaso West Wuogon
Christian,Bortianor-Ngleshie Amanfro
Christian,Dadekotopon
Islam,Domeabra-Obom
Christian,Dome-Kwabenya
Christian,Korle Klottey
Christian,Kpone-Katamanso
Christian,Krowor
Christian,Ledzokuku
Islam,Madina
Christian,Ningo Prampram
Christian,Odododiodioo
Christian,Okaikwei Central
Christian,Okaikwei North
Christian,Okaikwei South
Christian,Sege
Christian,Shai-Osudoku
Christian,Tema Central
Christian,Tema East
Christian,Tema West
Christian,Trobu
Christian,Weija-Gbawe
Christian,Bimbilla
Islam,Bole-Bamboi
Christian,Bunkpurugu
Islam,Chereponi
Islam,Daboya-Mankarigu
Islam,Damongo
Christian,Gushegu
Islam,Karaga
Christian,Kpandai
Islam,Kumbungu
Islam,Mion
Christian,Nalerigu-Gambaga
Islam,Nanton
Christian,Saboba
Islam,Sagnarigu
Islam,Salaga North
Islam,Salaga South
Islam,Savelugu
Christian,Sawla-Tuna-Kalba
Islam,Tamale Central
Islam,Tamale North
Islam,Tamale South
Christian,Tatale-Sanguli
Islam,Tolon
Islam,Walewale
Christian,Wulensi
Islam,Yagaba-Kubori
Islam,Yapei-Kusawgu
Islam,Yendi
Christian,Yunyoo
Christian,Zabzugu
Islam,Bawku Central
Christian,Binduri
Christian,Bolgatanga Central
Christian,Bolgatanga East
Christian,Bongo
Christian,Builsa North
Islam,Builsa South
Eckankar,Chiana-Paga
Christian,Garu
Christian,Nabdam
Christian,Navrongo Central
Islam,Pusiga
Christian,Talensi
Christian,Tempane
Christian,Zebilla
Christian,Daffiama-Bussie-Issa
Christian,Jirapa
Christian,Lambussie-Karni
Christian,Lawra
Christian,Nadowli-Kaleo
Christian,Nandom
Islam,Sissala East
Islam,Sissala West
Islam,Wa Central
Islam ,Wa East
Christian,Wa West
Christian,Adaklu
Christian,Afadjato South
Christian,Agotime-Ziope
Christian,Akan
Christian,Akatsi North
Christian,Akatsi South
Christian,Anlo
Christian,Biakoye
Unkn,Buem
Christian,Central Tongu
Christian,Ho Central
Christian,Ho West
Christian,Hohoe
Christian,Keta
Christian,Ketu North
Christian,Ketu South
Christian,Kpando
Christian,Krachi East
Christian,Krachi Nchumuru
Christian,Krachi West
Christian,Nkwanta North
Christian,NKwanta South
Christian,North Dayi
Christian,North Tongu
Christian,South Dayi
Christian,South Tongu
Christian,Ahanta West
Christian,Amenfi Central
Christian,Amenfi East
Christian,Amenfi West
Christian,Aowin
Christian,Bia East
Christian,Bia West
Christian,Bibiani-Anhwiaso-Bekwai
Christian,Bodi
Christian,Effia
Christian,Ellembelle
Christian,Essikado-Ketan
Christian,Evalue-Ajomoro-Gwira
Christian,Jomoro
Christian,Juaboso
Christian,Kwesimintsim
Christian,Mpohor
Christian,Prestea-Huni Valley
Christian,Sefwi Akontombra
Christian,Sefwi Wiawso
Christian,Sekondi
Christian,Shama
Christian,Suaman
Christian,Takoradi
Christian,Tarkwa-Nsuaem
Christian,Wassa East
